r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
1,0,0,419920,5960,42692,0,0,0,0,1237,350,0,58,42,0,0,0
1,0,0,421192,5968,42692,0,0,0,6,1169,277,0,51,49,0,0,0
2,0,0,421448,5968,42696,0,0,0,0,1329,312,0,64,36,0,0,0
1,0,0,421428,5968,42696,0,0,0,14,1053,267,0,47,53,0,0,0
1,0,0,419476,5976,42696,0,0,0,12,1226,297,0,53,47,0,0,0
1,0,0,420656,5976,42700,0,0,0,6,1286,332,0,63,37,0,0,0
1,0,0,421364,5984,42700,0,0,0,6,1233,328,0,55,45,0,0,0
2,0,0,421244,5984,42704,0,0,0,0,1143,288,0,50,50,0,0,0
2,0,0,421028,5984,42704,0,0,0,6,1419,352,0,60,40,0,0,0
1,0,0,421168,5992,42708,0,0,0,12,1291,332,0,58,41,1,0,0
1,0,0,421008,5992,42708,0,0,0,0,1242,281,0,53,47,0,0,0
1,0,0,420832,5992,42708,0,0,0,4,1285,347,0,62,38,0,0,0
1,0,0,420508,6000,42716,0,0,0,14,1240,338,0,56,43,1,0,0
1,0,0,421008,6000,42716,0,0,0,8,1230,297,0,54,46,0,0,0
2,0,0,420724,6008,42716,0,0,0,12,1303,349,0,64,36,1,0,0
1,0,0,420808,6008,42720,0,0,0,0,1123,342,0,51,49,0,0,0
1,0,0,420980,6008,42720,0,0,0,4,1160,288,0,51,49,0,0,0
1,0,0,421404,6016,42724,0,0,0,12,1176,321,0,52,48,0,0,0
1,0,0,420280,6016,42724,0,0,0,4,1133,301,0,53,46,0,0,0
1,0,0,420448,6016,42724,0,0,0,0,1194,369,0,60,40,0,0,0
4,0,0,421072,6024,42728,0,0,0,12,1291,334,0,63,36,1,0,0
1,0,0,421212,6024,42728,0,0,0,4,1263,313,0,56,44,0,0,0
1,0,0,420736,6032,42732,0,0,0,12,1156,312,0,47,53,0,0,0
1,0,0,420276,6032,42732,0,0,0,4,1273,340,0,50,50,0,0,0
4,0,0,419792,6032,42736,0,0,0,0,1180,258,0,51,49,0,0,0
1,0,0,420968,6040,42736,0,0,0,12,1306,346,0,53,46,1,0,0
2,0,0,421080,6040,42736,0,0,0,4,1232,295,0,54,46,0,0,0
7,0,0,420952,6040,42740,0,0,0,0,1165,283,0,53,47,0,0,0
1,0,0,421076,6048,42740,0,0,0,12,1154,322,0,53,46,1,0,0
3,0,0,420764,6048,42744,0,0,0,4,1259,331,0,57,43,0,0,0
1,0,0,420492,6056,42748,0,0,0,12,1204,336,0,59,40,1,0,0
1,0,0,420244,6056,42748,0,0,0,4,1255,312,0,58,42,0,0,0
4,0,0,420860,6056,42752,0,0,0,0,1314,323,0,64,35,0,0,0
0,0,0,420408,6064,42752,0,0,0,12,1288,337,0,58,42,1,0,0
1,0,0,420956,6064,42756,0,0,0,4,1264,325,0,51,49,0,0,0
1,0,0,420568,6064,42756,0,0,0,0,1302,325,0,63,37,0,0,0
1,0,0,421080,6072,42760,0,0,0,12,1282,364,0,62,38,1,0,0
1,0,0,421204,6072,42760,0,0,0,0,1288,319,0,58,42,0,0,0
1,0,0,420828,6080,42760,0,0,0,6,1349,308,0,59,40,0,0,0
1,0,0,420336,6080,42764,0,0,0,0,913,286,0,39,61,0,0,0
2,0,0,421192,6080,42764,0,0,0,0,1138,276,0,45,55,0,0,0
1,0,0,419740,6088,42768,0,0,0,6,1388,322,0,66,34,1,0,0
1,0,0,420652,6088,42768,0,0,0,0,1181,295,0,52,48,0,0,0
1,0,0,420728,6096,42768,0,0,0,6,1114,294,0,51,48,1,0,0
1,0,0,420616,6096,42772,0,0,0,0,1257,322,0,63,37,0,0,0
1,0,0,420096,6096,42772,0,0,0,0,1201,364,0,61,39,0,0,0
1,0,0,419952,6104,42772,0,0,0,6,1190,359,0,60,40,0,0,0
2,0,0,420788,6104,42776,0,0,0,0,1233,364,0,63,38,0,0,0
5,0,0,420656,6104,42776,0,0,0,0,1223,315,0,61,39,0,0,0
1,0,0,420900,6112,42780,0,0,0,22,1335,338,0,61,38,0,0,0
1,0,0,420940,6112,42780,0,0,0,0,1284,323,0,53,47,0,0,0
1,0,0,420632,6120,42772,0,0,0,12,1150,326,0,53,46,1,0,0
3,0,0,420604,6120,42784,0,0,0,6,1265,335,0,62,38,0,0,0
1,0,0,421172,6120,42784,0,0,0,0,1242,347,0,56,44,0,0,0
1,0,0,420788,6128,42788,0,0,0,12,1252,348,0,57,43,1,0,0
1,0,0,420900,6128,42788,0,0,0,0,1053,272,0,45,55,0,0,0
1,0,0,420652,6128,42788,0,0,0,0,1195,366,0,59,41,0,0,0
6,0,0,420572,6136,42796,0,0,0,16,1207,369,0,60,40,0,0,0
4,0,0,420516,6136,42796,0,0,0,0,1246,357,0,61,39,0,0,0
1,0,0,420864,6144,42800,0,0,0,12,1251,328,0,56,43,0,0,0
1,0,0,420564,6144,42800,0,0,0,4,1122,315,0,51,49,0,0,0
1,0,0,420776,6144,42804,0,0,0,0,1243,377,0,58,42,0,0,0
1,0,0,421136,6152,42804,0,0,0,16,1168,290,0,48,51,1,0,0
1,0,0,420916,6152,42808,0,0,0,0,1167,320,0,51,49,0,0,0
1,0,0,420584,6160,42808,0,0,0,12,1296,302,0,62,38,1,0,0
1,0,0,420768,6160,42808,0,0,0,4,1234,327,0,62,38,0,0,0
2,0,0,421028,6160,42812,0,0,0,0,1258,334,0,59,41,0,0,0
1,0,0,421072,6168,42812,0,0,0,16,1272,325,0,59,41,0,0,0
2,0,0,420836,6168,42816,0,0,0,0,1061,286,0,42,58,0,0,0
2,0,0,420284,6168,42816,0,0,0,0,1242,296,0,60,40,0,0,0
1,0,0,420536,6176,42816,0,0,0,16,1278,330,0,64,36,1,0,0
1,0,0,421168,6176,42820,0,0,0,0,1249,321,0,57,43,0,0,0
5,0,0,420692,6184,42820,0,0,0,12,1299,317,0,58,41,0,0,0
6,0,0,421136,6184,42824,0,0,0,4,1271,334,0,55,45,0,0,0
1,0,0,420800,6184,42824,0,0,0,0,1218,288,0,56,44,0,0,0
1,0,0,420264,6192,42820,0,0,0,16,1263,319,0,60,39,1,0,0
1,0,0,420552,6192,42828,0,0,0,0,1228,342,0,56,44,0,0,0
1,0,0,420584,6192,42828,0,0,0,0,1208,336,0,61,39,0,0,0
3,0,0,421028,6200,42832,0,0,0,16,1294,367,0,58,42,1,0,0
1,0,0,420956,6200,42832,0,0,0,0,1076,310,0,45,55,0,0,0
2,0,0,421164,6208,42832,0,0,0,16,1250,295,0,56,43,1,0,0
1,0,0,421048,6208,42836,0,0,0,0,1217,303,0,56,44,0,0,0
1,0,0,420604,6208,42836,0,0,0,0,1288,323,0,57,43,0,0,0
1,0,0,420408,6216,42840,0,0,0,16,1192,313,0,58,42,0,0,0
1,0,0,419252,6216,42840,0,0,0,0,1275,325,0,58,42,0,0,0
1,0,0,419732,6224,42832,0,0,0,12,1324,326,0,57,42,0,0,0
1,0,0,419288,6224,42844,0,0,0,0,1226,287,0,51,49,0,0,0
1,0,0,420788,6224,42844,0,0,0,0,1283,305,0,61,39,0,0,0
5,0,0,420232,6232,42844,0,0,0,6,1243,315,0,59,41,0,0,0
1,0,0,420496,6232,42848,0,0,0,0,1230,332,0,60,40,0,0,0
1,0,0,420216,6232,42848,0,0,0,0,1266,322,0,50,50,0,0,0
1,0,0,420444,6240,42856,0,0,0,6,1304,306,0,55,45,1,0,0
1,0,0,420392,6240,42856,0,0,0,0,1216,342,0,60,40,0,0,0
1,0,0,420528,6248,42860,0,0,0,6,1296,325,0,63,37,0,0,0
1,0,0,420820,6248,42860,0,0,0,0,1279,332,0,57,43,0,0,0
1,0,0,420860,6248,42864,0,0,0,0,1210,287,0,47,53,0,0,0
1,0,0,420976,6256,42864,0,0,0,6,1187,305,0,57,43,0,0,0
2,0,0,419704,6256,42864,0,0,0,0,1202,295,0,48,52,0,0,0
1,0,0,420952,6264,42868,0,0,0,28,1306,295,0,60,39,1,0,0
1,0,0,420984,6264,42868,0,0,0,0,1261,344,0,55,45,0,0,0
1,0,0,419848,6264,42872,0,0,0,0,1166,280,0,46,53,0,0,0
3,0,0,420192,6272,42864,0,0,0,12,1239,325,0,64,35,1,0,0
1,0,0,420712,6272,42876,0,0,0,0,1211,404,0,60,40,0,0,0
5,0,0,419724,6272,42880,0,0,0,6,1304,312,0,54,46,0,0,0
0,0,0,419836,6280,42880,0,0,0,12,1196,340,0,53,46,0,0,0
1,0,0,420804,6280,42884,0,0,0,0,1210,282,0,55,44,0,0,0
1,0,0,420844,6288,42884,0,0,0,16,1359,313,0,61,39,0,0,0
1,0,0,420908,6288,42884,0,0,0,0,1297,306,0,60,40,0,0,0
1,0,0,420780,6288,42888,0,0,0,0,1216,307,0,55,45,0,0,0
1,0,0,420504,6296,42888,0,0,0,16,1296,355,1,62,38,0,0,0
2,0,0,420312,6296,42892,0,0,0,0,1247,323,0,62,38,0,0,0
1,0,0,420236,6296,42892,0,0,0,4,1248,334,0,59,41,0,0,0
1,0,0,420356,6304,42896,0,0,0,12,1267,306,0,56,43,1,0,0
1,0,0,420436,6304,42896,0,0,0,0,1178,291,0,52,48,0,0,0
1,0,0,420408,6312,42896,0,0,0,16,1267,290,0,58,42,1,0,0
1,0,0,420328,6312,42900,0,0,0,0,1157,282,0,47,53,0,0,0
0,0,0,420996,6312,42900,0,0,0,4,1168,249,0,48,52,0,0,0
2,0,0,420520,6320,42900,0,0,0,12,1175,306,0,51,49,0,0,0
7,0,0,420788,6320,42904,0,0,0,0,1257,299,0,58,42,0,0,0
0,0,0,420688,6320,42904,0,0,0,4,1131,316,0,50,50,0,0,0
0,0,0,419996,6328,42908,0,0,0,12,1208,297,0,50,50,0,0,0
2,1,0,417244,6328,45488,0,0,1300,0,1349,313,0,55,45,0,0,0
1,0,0,410660,6336,51832,0,0,3154,16,1282,388,0,64,35,2,0,0
9,0,0,410476,6336,52364,0,0,266,0,1172,364,0,61,39,0,0,0
1,0,0,410492,6336,52368,0,0,0,4,1215,372,0,62,38,0,0,0
1,0,0,409476,6344,52368,0,0,0,12,1185,395,0,59,40,1,0,0
1,0,0,409860,6344,52368,0,0,0,0,1202,367,0,62,37,0,0,0
1,0,0,410696,6344,52372,0,0,0,6,1248,372,0,64,36,0,0,0
1,0,0,410496,6352,52376,0,0,0,12,1225,387,0,62,38,1,0,0
1,0,0,409532,6352,52376,0,0,0,0,1316,349,0,62,38,0,0,0
4,0,0,411096,6360,52380,0,0,0,16,1326,358,0,63,37,1,0,0
1,0,0,410356,6360,52380,0,0,0,0,1245,377,0,63,37,0,0,0
6,0,0,410116,6360,52380,0,0,0,4,1163,369,0,60,39,0,0,0
1,0,0,409400,6368,52384,0,0,0,12,1166,396,0,61,38,1,0,0
1,0,0,410380,6368,52384,0,0,0,0,1132,338,0,59,41,0,0,0
1,0,0,409348,6368,52388,0,0,0,4,1141,370,0,60,40,0,0,0
1,0,0,409896,6376,52388,0,0,0,12,1145,387,0,59,40,1,0,0
0,0,0,411356,6376,52392,0,0,0,0,1272,351,0,61,39,0,0,0
2,0,0,411284,6384,52392,0,0,0,18,1250,343,0,54,46,0,0,0
1,0,0,409420,6384,52396,0,0,0,0,1250,331,0,57,43,0,0,0
1,0,0,410588,6384,52396,0,0,0,4,1370,320,0,62,38,0,0,0
6,0,0,408908,6392,52400,0,0,0,12,1248,354,0,63,37,0,0,0
4,0,0,410168,6392,52400,0,0,0,0,1180,392,0,62,38,0,0,0
1,0,0,411040,6400,52408,0,0,0,16,1216,366,0,57,42,1,0,0
1,0,0,410524,6400,52408,0,0,0,0,1275,335,0,65,35,0,0,0
1,0,0,410644,6400,52412,0,0,0,6,1213,371,0,61,39,0,0,0
1,0,0,410260,6408,52412,0,0,0,12,1218,361,0,62,38,1,0,0
7,0,0,410492,6408,52420,0,0,0,0,1289,351,0,63,37,0,0,0
6,0,0,410416,6408,52420,0,0,0,4,1218,364,0,63,37,0,0,0
1,0,0,410000,6416,52424,0,0,0,12,1161,352,0,61,39,1,0,0
8,0,0,410300,6416,52424,0,0,0,0,1196,380,0,62,38,0,0,0
1,0,0,409324,6424,52424,0,0,0,16,1176,375,0,62,37,0,0,0
1,0,0,409992,6424,52428,0,0,0,0,1222,352,0,65,35,0,0,0
1,0,0,408948,6424,52428,0,0,0,4,1266,370,0,64,36,0,0,0
1,0,0,410292,6432,52432,0,0,0,12,1218,361,1,59,40,1,0,0
1,0,0,409060,6432,52432,0,0,0,0,1202,361,0,63,37,0,0,0
1,0,0,410160,6432,52436,0,0,0,0,1173,336,0,60,40,0,0,0
2,0,0,409748,6440,52436,0,0,0,6,1174,390,0,62,38,0,0,0
1,0,0,409812,6440,52440,0,0,0,0,1128,380,0,59,41,0,0,0
1,0,0,409440,6448,52440,0,0,0,6,1148,359,0,61,39,1,0,0
1,0,0,410292,6448,52444,0,0,0,0,1201,376,0,62,38,0,0,0
5,0,0,409720,6448,52444,0,0,0,0,1233,366,0,63,37,0,0,0
1,0,0,409436,6456,52444,0,0,0,6,1146,374,0,59,41,1,0,0
1,0,0,409980,6456,52448,0,0,0,0,1213,408,0,63,37,0,0,0
1,0,0,410468,6456,52452,0,0,0,0,1221,385,0,63,37,0,0,0
1,0,0,410356,6464,52452,0,0,0,6,1218,396,0,61,38,0,0,0
3,0,0,410756,6464,52456,0,0,0,0,1269,346,0,63,37,0,0,0
1,0,0,409940,6472,52456,0,0,0,6,1206,352,0,62,37,0,0,0
1,0,0,409516,6472,52456,0,0,0,0,1097,395,0,56,44,0,0,0
1,0,0,410492,6472,52460,0,0,0,18,1208,416,0,59,41,0,0,0
1,0,0,409928,6480,52464,0,0,0,12,1191,355,0,54,45,1,0,0
1,0,0,410324,6480,52464,0,0,0,6,1244,395,0,59,41,0,0,0
1,0,0,410784,6488,52468,0,0,0,6,1091,300,0,47,53,1,0,0
0,0,0,410656,6488,52468,0,0,0,0,1254,326,0,54,45,0,0,0
1,0,0,410520,6488,52472,0,0,0,6,1132,330,0,44,56,0,0,0
10,0,0,410140,6496,52472,0,0,0,12,1265,344,0,62,37,1,0,0
1,0,0,408748,6496,52472,0,0,0,4,1183,374,0,63,37,0,0,0
1,0,0,409636,6496,52476,0,0,0,0,1157,395,0,59,41,0,0,0
6,0,0,410488,6504,52476,0,0,0,12,1298,374,0,66,33,1,0,0
1,0,0,409592,6504,52480,0,0,0,6,1191,397,0,61,39,0,0,0
1,0,0,409480,6512,52480,0,0,0,12,1225,366,0,63,36,1,0,0
2,0,0,409588,6512,52484,0,0,0,0,1180,394,0,62,38,0,0,0
1,0,0,409308,6512,52484,0,0,0,4,1109,323,0,59,41,0,0,0
1,0,0,409692,6520,52488,0,0,0,12,1188,394,0,60,40,0,0,0
1,0,0,410148,6520,52488,0,0,0,4,1209,350,0,63,37,0,0,0
1,0,0,409552,6528,52488,0,0,0,12,1220,359,0,63,36,1,0,0
6,0,0,410416,6528,52492,0,0,0,0,1157,417,0,58,42,0,0,0
12,0,0,410136,6528,52496,0,0,0,4,1259,393,0,63,37,0,0,0
2,0,0,409252,6536,52500,0,0,0,12,1192,358,1,63,36,0,0,0
1,0,0,409780,6536,52504,0,0,0,6,1232,379,0,61,39,0,0,0
1,0,0,410080,6536,52504,0,0,0,0,1246,378,0,63,37,0,0,0
1,0,0,410112,6544,52512,0,0,0,12,1282,354,0,59,40,1,0,0
1,0,0,410176,6544,52512,0,0,0,4,1236,387,0,61,39,0,0,0
3,0,0,410144,6552,52516,0,0,0,12,1282,341,0,64,36,0,0,0
1,0,0,410344,6552,52516,0,0,0,0,1216,362,0,62,38,0,0,0
1,0,0,409836,6552,52524,0,0,0,4,1242,354,0,64,36,0,0,0
1,0,0,410768,6560,52524,0,0,0,12,1249,399,0,61,38,1,0,0
1,0,0,410276,6560,52528,0,0,0,6,1253,331,0,51,49,0,0,0
1,0,0,410244,6568,52520,0,0,0,12,1251,378,0,59,40,0,0,0
1,0,0,408708,6568,52532,0,0,0,0,1223,363,0,64,36,0,0,0
1,0,0,409716,6568,52532,0,0,0,4,1236,379,0,63,37,0,0,0
1,0,0,409144,6576,52532,0,0,0,12,1213,358,0,63,36,1,0,0
2,0,0,409128,6576,52536,0,0,0,4,1189,356,0,62,37,0,0,0
1,0,0,408780,6576,52536,0,0,0,0,1181,329,0,63,37,0,0,0
1,0,0,409356,6584,52540,0,0,0,12,1176,351,0,63,36,0,0,0
2,0,0,410040,6584,52540,0,0,0,0,1242,397,0,64,36,0,0,0
2,1,0,409568,6592,52536,0,0,0,6,1189,340,0,61,39,0,0,0
3,0,0,409288,6592,52544,0,0,0,0,1200,380,0,63,37,0,0,0
8,0,0,409168,6592,52548,0,0,0,0,1227,352,0,64,36,0,0,0
1,0,0,409632,6600,52548,0,0,0,6,1207,402,0,62,37,1,0,0
3,0,0,409892,6600,52552,0,0,0,0,1213,407,0,61,39,0,0,0
1,0,0,409804,6600,52552,0,0,0,0,1213,361,0,60,40,0,0,0
1,0,0,409628,6608,52556,0,0,0,6,1221,360,0,63,36,0,0,0
1,0,0,409532,6608,52556,0,0,0,0,1142,362,0,59,41,0,0,0
2,0,0,409496,6616,52560,0,0,0,6,1151,431,0,58,42,1,0,0
1,0,0,409328,6616,52560,0,0,0,0,1244,384,0,64,36,0,0,0
1,0,0,409540,6616,52564,0,0,0,0,1329,328,0,61,39,0,0,0
1,0,0,410200,6624,52564,0,0,0,6,1257,317,0,50,50,0,0,0
1,0,0,409556,6624,52568,0,0,0,16,1313,343,0,60,40,0,0,0
1,0,0,409360,6624,52568,0,0,0,0,1248,340,0,65,35,0,0,0
1,0,0,408920,6632,52568,0,0,0,12,1200,381,0,62,38,1,0,0
5,0,0,409444,6632,52572,0,0,0,6,1286,378,0,64,36,0,0,0
1,0,0,410508,6640,52576,0,0,0,6,1274,377,0,62,37,1,0,0
8,0,0,410180,6640,52576,0,0,0,8,1361,347,0,57,43,0,0,0
1,0,0,410096,6640,52580,0,0,0,0,1205,331,0,53,47,0,0,0
1,0,0,410368,6648,52580,0,0,0,12,1267,357,0,57,43,1,0,0
1,0,0,409976,6648,52584,0,0,0,4,1291,334,0,63,37,0,0,0
5,0,0,410156,6656,52584,0,0,0,12,1321,379,0,59,41,0,0,0
1,0,0,409672,6656,52588,0,0,0,6,1259,372,0,61,39,0,0,0
1,0,0,409860,6656,52588,0,0,0,0,1256,345,0,59,41,0,0,0
8,0,0,410088,6664,52592,0,0,0,12,1242,357,0,63,36,0,0,0
1,0,0,409292,6664,52592,0,0,0,4,1239,379,0,64,36,0,0,0
1,0,0,410136,6664,52596,0,0,0,0,1258,349,0,60,40,0,0,0
1,0,0,409388,6672,52596,0,0,0,12,1209,378,0,63,36,1,0,0
1,0,0,409556,6672,52600,0,0,0,4,1207,394,0,62,38,0,0,0
4,0,0,409612,6680,52600,0,0,0,12,1226,371,0,63,36,1,0,0
1,0,0,409316,6680,52608,0,0,0,4,1227,368,0,63,37,0,0,0
1,0,0,409736,6680,52608,0,0,0,0,1284,351,0,63,37,0,0,0
7,0,0,410052,6688,52612,0,0,0,12,1318,364,0,62,37,1,0,0
2,0,0,409988,6688,52612,0,0,0,6,1265,370,0,64,36,0,0,0
3,0,0,410236,6696,52608,0,0,0,12,1231,359,0,55,44,0,0,0
1,0,0,410216,6696,52616,0,0,0,4,1329,328,0,61,39,0,0,0
1,0,0,409876,6696,52620,0,0,0,0,1294,335,0,57,43,0,0,0
2,0,0,410140,6704,52620,0,0,0,12,1279,347,0,63,37,0,0,0
1,0,0,409984,6704,52624,0,0,0,4,1279,337,0,63,37,0,0,0
1,0,0,409508,6704,52624,0,0,0,0,1271,372,0,60,40,0,0,0
1,0,0,409504,6712,52632,0,0,0,18,1194,368,0,61,38,1,0,0
1,0,0,409712,6712,52632,0,0,0,0,1215,340,0,60,40,0,0,0
1,0,0,409640,6720,52636,0,0,0,12,1344,355,0,66,33,1,0,0
1,0,0,410024,6720,52636,0,0,0,4,1230,308,0,51,49,0,0,0
1,0,0,408952,6720,52640,0,0,0,0,1219,342,0,60,40,0,0,0
1,0,0,409488,6728,52640,0,0,0,12,1158,380,0,59,40,1,0,0
1,0,0,408948,6728,52640,0,0,0,4,1214,384,0,63,37,0,0,0
1,0,0,409268,6728,52644,0,0,0,0,1175,384,0,61,39,0,0,0
1,0,0,409868,6736,52644,0,0,0,12,1254,371,0,66,34,0,0,0
14,0,0,409812,6736,52648,0,0,0,4,1218,331,0,64,36,0,0,0
1,0,0,409320,6744,52648,0,0,0,12,1194,374,0,62,37,1,0,0
1,0,0,409992,6744,52652,0,0,0,6,1211,363,0,61,38,0,0,0
1,0,0,409248,6744,52652,0,0,0,0,1195,363,0,62,38,0,0,0
1,0,0,409424,6752,52656,0,0,0,12,1208,348,0,65,35,1,0,0
1,0,0,408672,6752,52656,0,0,0,4,1104,364,0,58,42,0,0,0
1,0,0,409000,6760,52656,0,0,0,12,1179,383,0,62,37,1,0,0
1,0,0,409000,6760,52660,0,0,0,4,1189,408,0,61,38,0,0,0
1,0,0,409088,6760,52660,0,0,0,0,1205,394,0,63,37,0,0,0
1,0,0,409232,6768,52664,0,0,0,12,1197,393,0,61,38,1,0,0
1,0,0,409616,6768,52664,0,0,0,4,1172,354,0,61,39,0,0,0
1,0,0,409616,6776,52668,0,0,0,12,1266,371,0,65,34,0,0,0
1,0,0,410116,6776,52668,0,0,0,0,1213,390,0,60,40,0,0,0
1,0,0,409596,6776,52672,0,0,0,4,1238,361,0,61,39,0,0,0
1,0,0,409076,6784,52672,0,0,0,12,1194,340,0,54,46,0,0,0
2,0,0,408864,6784,52676,0,0,0,6,1222,387,0,62,38,0,0,0
1,0,0,410132,6784,52676,0,0,0,0,1215,342,0,61,39,0,0,0
1,0,0,406360,6792,55240,0,0,1270,12,1295,363,0,65,34,1,0,0
1,0,0,406376,6792,55240,0,0,0,4,1185,335,0,62,38,0,0,0
1,0,0,406388,6800,55232,0,0,0,12,1144,314,0,59,40,1,0,0
1,0,0,405672,6800,55244,0,0,0,0,1165,390,0,59,41,0,0,0
1,0,0,406004,6800,55244,0,0,0,0,1166,353,0,60,40,0,0,0
1,0,0,406156,6808,55248,0,0,0,6,1157,325,0,61,38,0,0,0
1,0,0,405944,6808,55248,0,0,0,0,1210,367,0,63,37,0,0,0
1,0,0,405388,6808,55252,0,0,0,0,1214,323,0,63,37,0,0,0
1,0,0,406548,6816,55252,0,0,0,6,1174,360,0,61,39,0,0,0
1,0,0,406400,6816,55256,0,0,0,0,1165,347,0,61,39,0,0,0
2,0,0,407240,6824,55260,0,0,0,6,1159,371,0,60,39,1,0,0
1,0,0,406844,6824,55260,0,0,0,0,1143,374,0,59,41,0,0,0
1,0,0,406304,6824,55264,0,0,0,0,1181,374,0,62,38,0,0,0
7,0,0,406868,6832,55264,0,0,0,6,1185,368,0,61,39,0,0,0
3,0,0,406560,6832,55264,0,0,0,0,1155,366,0,61,39,0,0,0
1,0,0,406844,6832,55268,0,0,0,0,1164,392,0,59,41,0,0,0
9,0,0,406600,6840,55268,0,0,0,20,1153,362,0,58,41,0,0,0
12,0,0,407300,6840,55272,0,0,0,0,1161,352,0,61,39,0,0,0
1,0,0,406616,6848,55272,0,0,0,12,1226,374,0,64,35,1,0,0
8,0,0,407072,6848,55276,0,0,0,6,1268,390,0,64,36,0,0,0
6,0,0,406680,6848,55276,0,0,0,0,1245,391,0,64,36,0,0,0
2,0,0,406988,6856,55280,0,0,0,14,1197,372,0,63,37,1,0,0
1,0,0,406432,6856,55280,0,0,0,0,1165,368,0,60,40,0,0,0
2,0,0,406388,6864,55272,0,0,0,12,1163,371,0,60,40,0,0,0
1,0,0,406600,6864,55284,0,0,0,4,1186,353,0,62,38,0,0,0
1,0,0,406828,6864,55288,0,0,0,0,1213,400,0,63,37,0,0,0
1,0,0,406832,6872,55288,0,0,0,16,1237,358,0,64,36,0,0,0
1,0,0,406516,6872,55288,0,0,0,0,1148,359,0,60,40,0,0,0
9,0,0,407016,6872,55292,0,0,0,0,1163,350,0,61,40,0,0,0
1,0,0,406720,6880,55296,0,0,0,16,1245,406,0,63,37,0,0,0
1,0,0,406428,6880,55300,0,0,0,0,1173,404,0,60,40,0,0,0
10,0,0,406128,6888,55300,0,0,0,12,1219,384,0,63,37,0,0,0
9,0,0,406744,6888,55304,0,0,0,6,1218,355,0,63,37,0,0,0
2,0,0,405692,6888,55304,0,0,0,0,1118,342,0,59,41,0,0,0
1,0,0,405140,6896,55308,0,0,0,16,1192,353,0,62,37,0,0,0
5,0,0,406784,6896,55308,0,0,0,0,1240,373,0,64,36,0,0,0
1,0,0,406648,6904,55312,0,0,0,12,1166,375,0,60,39,1,0,0
5,0,0,406848,6904,55312,0,0,0,4,1291,368,0,67,34,0,0,0
1,0,0,405936,6904,55316,0,0,0,0,1153,351,0,60,40,0,0,0
1,0,0,406032,6912,55316,0,0,0,16,1098,320,0,58,42,1,0,0
1,0,0,405080,6912,55316,0,0,0,0,1209,358,0,63,36,0,0,0
4,0,0,406820,6920,55320,0,0,0,12,1183,377,0,60,39,0,0,0
2,0,0,406508,6920,55320,0,0,0,4,1212,373,0,64,36,0,0,0
1,0,0,405384,6920,55324,0,0,0,0,1202,383,0,62,38,0,0,0
